SalesQuotaId,OrganizationId,QuotaTypeId,QuotaTypeName,QuotaByTypeId,QuotaByTypeName,QuotaForTypeId,QuotaForTypeName,Amount(Not Running Total),Amount(Not Total),CreatedDate,RepConfidence,TotalLength,Length,InPipelineProbabilityMean,InPipelineProbabilityMedian,OpportunityTotalAmountMean,OpportunityTotalAmountMedian
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,7072.13,7072.13,2024-01-01,70.16,90,90,0.05,0.75,47765.03,6867.78
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,1691.45,8763.58,2024-01-02,70.8,90,89,0.19,0.75,19402.08,14361.77
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,5807.67,14571.25,2024-01-03,71.6,90,88,0.88,0.09,37335.3,7938.93
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,6542.27,21113.52,2024-01-04,72.87,90,87,0.37,0.33,48228.92,7773.08
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,8051.15,29164.67,2024-01-05,70.71,90,86,0.07,0.9,18284.33,6092.67
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,3266.81,32431.48,2024-01-06,72.73,90,85,0.66,0.3,48145.13,22338.87
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,7813.27,40244.75,2024-01-07,73.01,90,84,0.81,0.85,42576.87,5425.89
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,7232.8,47477.55,2024-01-08,71.32,90,83,0.83,0.47,44251.7,10587.06
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,8016.24,55493.79,2024-01-09,73.23,90,82,0.31,0.24,39885.58,19164.7
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,9100.6,64594.39,2024-01-10,71.79,90,81,0.87,0.4,24794.61,9303.73
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,7033.97,71628.36,2024-01-11,74.51,90,80,0.12,0.9,49072.41,14135.04
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,6846.02,78474.38,2024-01-12,72.41,90,79,0.45,0.32,49536.96,12638.7
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,4068.29,82542.67,2024-01-13,73.4,90,78,0.26,0.5,45868.94,23903.67
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,7235.06,89777.73,2024-01-14,73.65,90,77,0.76,0.2,18628.54,7436.57
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,7875.6,97653.33,2024-01-15,71.11,90,76,0.99,0.31,19837.68,23085.81
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,4399.28,102052.61,2024-01-16,73.26,90,75,0.01,0.95,42564.65,11817.71
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,6633.52,108686.13,2024-01-17,74.9,90,74,0.89,0.4,32337.23,8770.95
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,7363.76,116049.89,2024-01-18,70.64,90,73,0.51,0.96,10952.13,13011.4
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,8127.68,124177.57,2024-01-19,71.98,90,72,0,0.59,43416.01,5732.74
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,5480.31,129657.88,2024-01-20,70.5,90,71,0.32,0.64,30332.48,17650.3
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,1897,131554.88,2024-01-21,71.46,90,70,0.71,0.01,13502.57,8960.82
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,1994.51,133549.39,2024-01-22,72.61,90,69,0.02,0.27,37711.23,11531.92
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,4776.72,138326.11,2024-01-23,72.91,90,68,0.69,0.35,27816.38,18119.08
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,7145.54,145471.65,2024-01-24,72.87,90,67,0.55,0.11,28035.99,16913.06
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,6330.89,151802.54,2024-01-25,70.79,90,66,0.8,0.88,46156.05,12190.81
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,6306.27,158108.81,2024-01-26,73.88,90,65,0.34,0.44,31305.83,13303.69
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,1561.69,159670.5,2024-01-27,72.5,90,64,0,0.12,33355.88,12927.82
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,2634.55,162305.05,2024-01-28,73.04,90,63,0.22,0.44,46496.62,18369.11
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,2045.38,164350.43,2024-01-29,74.1,90,62,0.68,0.36,32667.16,10462.96
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,6458.95,170809.38,2024-01-30,70.03,90,61,0.54,0.18,23319.56,23229.41
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,4056.44,174865.82,2024-01-31,72.2,90,60,0.33,0.68,21897.29,24401
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,4201.65,179067.47,2024-02-01,74.61,90,59,0.26,0.14,22841.18,12665.26
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,9389.53,188457,2024-02-02,70.11,90,58,0.98,0.82,14562.29,12054.14
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,7528.65,195985.65,2024-02-03,74.06,90,57,0.33,0.87,38527.15,10651.29
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,4187.83,200173.48,2024-02-04,74.26,90,56,0.92,0.05,30479.29,22460.42
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,2302.63,202476.11,2024-02-05,72.03,90,55,0.26,0.87,17775.67,15987.14
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,1579.37,204055.48,2024-02-06,72.48,90,54,0.43,0.33,45817.06,9910.31
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,7799.66,211855.14,2024-02-07,71.79,90,53,0.85,0.94,21150.35,17554.81
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,4577.79,216432.93,2024-02-08,74.15,90,52,0.04,0.12,19173.3,6063.9
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,9985.74,226418.67,2024-02-09,72.72,90,51,0.63,0.6,40795.07,8365.63
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,3037.86,229456.53,2024-02-10,74.91,90,50,0.55,0.67,38579.8,18809.61
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,2063.69,231520.22,2024-02-11,72.54,90,49,0.99,0.17,24800.14,18103.36
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,2893.5,234413.72,2024-02-12,70.99,90,48,0.74,0.34,23102.87,21804.67
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,8556.22,242969.94,2024-02-13,74.11,90,47,0.77,0.21,33074.74,5983.37
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,2958.29,245928.23,2024-02-14,70.78,90,46,0.37,0.45,26893.65,20639.5
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,9304.82,255233.05,2024-02-15,72.49,90,45,0.09,0.81,34980.72,10920.87
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,5979.93,261212.98,2024-02-16,70.33,90,44,0.37,0.62,16708.58,5540.09
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,8373.02,269586,2024-02-17,71.25,90,43,0.18,0,34797.56,23310.81
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,5641.6,275227.6,2024-02-18,70.24,90,42,0.2,0.26,15375.75,16565.7
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,7940.89,283168.49,2024-02-19,73.48,90,41,0.78,0.31,43524.74,12136.43
